Id;Designator;Footprint;Quantity;Designation;Supplier and ref;LCSC Part Number
1;U5,U4,U2,U3;LPTL21157AGBW2;4;~;;
2;C3,C4,C1,C5;C_0805_2012Metric;4;.47uF;;
3;C2;C_0805_2012Metric;1;C;;
4;C6,C8,C7;C_0805_2012Metric;3;.1uF;;
5;R2;R_0805_2012Metric;1;20k;;
6;U1;TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm;1;IS31FL3733-TQ;;
7;R3,R1,R4;R_0805_2012Metric;3;100k;;
8;J3;PinHeader_1x08_P1.27mm_Vertical_SMD_Pin1Left;1;Conn_01x08;;
